$p SceLibKernel
*sceKernelAtomicSet32 0xB69DA09B
*sceKernelAtomicSet64 0xC8A4339C
*sceKernelAtomicSet8 0xE960FDA2
*sceKernelAtomicSubAndGet16 0xC26BBBB1
*sceKernelAtomicSubAndGet32 0x1C9CD92
*sceKernelAtomicSubAndGet64 0x9BB4A94B
*sceKernelAtomicSubAndGet8 0x99E1796E
*sceKernelAtomicXorAndGet16 0x6F524195
*sceKernelAtomicXorAndGet32 0x46940704
*sceKernelAtomicXorAndGet64 0xDDC6866E
*sceKernelAtomicXorAndGet8 0x634AF062
*sceKernelBacktrace 0x894037E8
*sceKernelBacktraceSelf 0xD16C03B0
*sceKernelCallModuleExit 0x15E2A45D
*sceKernelCallWithChangeStack 0xAFE2B300
*sceKernelCancelEvent 0x603AB770
*sceKernelCancelEventFlag 0x2A12D9B7
*sceKernelCancelEventWithSetPattern 0xB01387D5
*sceKernelCancelMsgPipe 0xEF14BA37
*sceKernelCancelMutex 0x2144890D
*sceKernelCancelRWLock 0x190CA94B
*sceKernelCancelSema 0x66D6BF05
*sceKernelCancelTimer 0x9CCF768C
*sceKernelChangeCurrentThreadAttr 0x36833F93
*sceKernelCheckThreadStack 0x84092FD0
*sceKernelCloseModule 0x657FA50E
*sceKernelCreateCond 0x50572FDA
*sceKernelCreateEventFlag 0x8516D040
*sceKernelCreateLwCond 0x48C7EAE6
*sceKernelCreateLwMutex 0xDA6EC8EF
*sceKernelCreateMsgPipe 0xA10C1C8
*sceKernelCreateMutex 0xED53334A
*sceKernelCreateRWLock 0x8667951D
*sceKernelCreateSema 0x1BD67366
*sceKernelCreateSimpleEvent 0xE6DB2494
*sceKernelCreateThread 0xC5C11EE7
*sceKernelCreateTimer 0x2255B2A5
*sceKernelDeleteLwCond 0x721F6CB3
*sceKernelDeleteLwMutex 0x244E76D2
*sceKernelExitProcess 0x7595D9AA
*sceKernelGetCallbackInfo 0x88DD1BC8
*sceKernelGetCondInfo 0x6864DCE2
*sceKernelGetCurrentThreadVfpException 0xA37A6057
*sceKernelGetEventFlagInfo 0x8BA4C0C1
*sceKernelGetEventInfo 0xE35F19D6
*sceKernelGetEventPattern 0xE5A2AC66
*sceKernelGetLwCondInfo 0xE4DF36A0
*sceKernelGetLwCondInfoById 0x971F1DE8
*sceKernelGetLwMutexInfo 0xF7D8F1FC
*sceKernelGetLwMutexInfoById 0x4846613D
*sceKernelGetModuleInfoByAddr 0xD11A5103
*sceKernelGetMsgPipeInfo 0x4046D16B
*sceKernelGetMutexInfo 0x9A6C43CA
*sceKernelGetOpenPsId 0x261E2C34
*sceKernelGetPMUSERENR 0xF8A99FDF
*sceKernelGetProcessTime 0x4C4672BF
*sceKernelGetProcessTimeLow 0xE9F973B1
*sceKernelGetProcessTimeWide 0xB110C123
*sceKernelGetRWLockInfo 0x79A573B
*sceKernelGetSemaInfo 0x595D3FA6
*sceKernelGetSystemInfo 0xE0241FAA
*sceKernelGetTLSAddr 0xB295EB61
*sceKernelGetThreadCpuAffinityMask 0x8C57AC2A
*sceKernelGetThreadCurrentPriority 0xC53A9848
*sceKernelGetThreadExitStatus 0xD5DC26C4
*sceKernelGetThreadId 0xFB972F9
*sceKernelGetThreadInfo 0x8D9C5461
*sceKernelGetThreadRunStatus 0xD6B01013
*sceKernelGetTimerBase 0x1F59E04D
*sceKernelGetTimerEventRemainingTime 0x75B1EB3E
*sceKernelGetTimerInfo 0x7E35E10A
*sceKernelGetTimerTime 0x381DC300
*sceKernelLoadModule 0xBBE82155
*sceKernelLoadStartModule 0x2DCC4AFA
*sceKernelLockLwMutex 0x46E7BE7B
*sceKernelLockLwMutexCB 0x3148C6B6
*sceKernelLockMutex 0x1D8D7945
*sceKernelLockMutexCB 0x2BDAA524
*sceKernelLockReadRWLock 0xFA670F0F
*sceKernelLockReadRWLockCB 0x2D4A62B7
*sceKernelLockWriteRWLock 0x67A187BB
*sceKernelLockWriteRWLockCB 0xA4777082
*sceKernelOpenModule 0x4F2D8B15
*sceKernelPMonThreadGetCounter 0x99B2BF15
*sceKernelPollEvent 0x241F3634
*sceKernelPollEventFlag 0x1FBB0FE1
*sceKernelPrintBacktrace 0x1C02A434
*sceKernelPulseEventWithNotifyCallback 0x92F162F3
*sceKernelReceiveMsgPipe 0x4E81DD5C
*sceKernelReceiveMsgPipeCB 0x33AF829B
*sceKernelReceiveMsgPipeVector 0x9F899087
*sceKernelReceiveMsgPipeVectorCB 0xBE5B3E27
*sceKernelSendMsgPipe 0xCA71EA2
*sceKernelSendMsgPipeCB 0xA5CA74AC
*sceKernelSendMsgPipeVector 0x94D506F7
*sceKernelSendMsgPipeVectorCB 0x9C6F7F79
*sceKernelSetEventWithNotifyCallback 0x5FF3EE92
*sceKernelSetTimerEvent 0x621D293B
*sceKernelSetTimerTime 0xFFAD717F
*sceKernelSignalLwCond 0x3AC63B9A
*sceKernelSignalLwCondAll 0xE5241A0C
*sceKernelSignalLwCondTo 0xFC1A48EB
*sceKernelStackChkFail 0xEC287338
*sceKernelStartModule 0x702425D5
*sceKernelStartThread 0xF08DE149
*sceKernelStopModule 0x3B2CBA09
*sceKernelStopUnloadModule 0x2415F8A4
*sceKernelTryLockLwMutex 0xA6A2C915
*sceKernelTryReceiveMsgPipe 0x5615B006
*sceKernelTryReceiveMsgPipeVector 0x86ECC0FF
*sceKernelTrySendMsgPipe 0xDFC670E0
*sceKernelTrySendMsgPipeVector 0x60DB346F
*sceKernelUnloadModule 0x1987920E
*sceKernelUnlockLwMutex 0x120AFC8C
*sceKernelWaitCond 0xC88D44AD
*sceKernelWaitCondCB 0x4CE42CE2
*sceKernelWaitEvent 0x120F03AF
*sceKernelWaitEventCB 0xA0490795
*sceKernelWaitEventFlag 0x83C0E2AF
*sceKernelWaitEventFlagCB 0xE737B1DF
*sceKernelWaitLwCond 0xE1878282
*sceKernelWaitLwCondCB 0x8FA54B07
*sceKernelWaitMultipleEvents 0x10586418
*sceKernelWaitMultipleEventsCB 0x4263DBC9
*sceKernelWaitSema 0xC7B834B
*sceKernelWaitSemaCB 0x174692B4
*sceKernelWaitSignal 0xADCA94E5
*sceKernelWaitSignalCB 0x24460BB3
*sceKernelWaitThreadEnd 0xDDB395A9
*sceKernelWaitThreadEndCB 0xC54941ED
*sceSblACMgrIsGameProgram 0x963F4A99
*sceKernelGetRandomNumber 0xB2700165
$s SceNetCtl
#0x1
*sceNetCtlAdhocDisconnect 0xED43B79A
*sceNetCtlAdhocGetInAddr 0x7118C99D
*sceNetCtlAdhocGetPeerList 0x77586C59
*sceNetCtlAdhocGetResult 0x7AE0ED19
*sceNetCtlAdhocGetState 0x961A561
*sceNetCtlAdhocRegisterCallback 0xFFA9D594
*sceNetCtlAdhocUnregisterCallback 0xA4471E10
*sceNetCtlCheckCallback 0xDFFC3ED4
*sceNetCtlGetIfStat 0xDA130450
*sceNetCtlGetNatInfo 0x4DDD6149
*sceNetCtlGetPhoneMaxDownloadableSize 0x4FB4BEA1
*sceNetCtlInetGetInfo 0xB26D07F3
*sceNetCtlInetGetResult 0x6B20EC02
*sceNetCtlInetGetState 0x6D26AC68
*sceNetCtlInetRegisterCallback 0xEAEE6185
*sceNetCtlInetUnregisterCallback 0xD0C3BF3F
*sceNetCtlInit 0x495CA1DB
*sceNetCtlTerm 0xCD188648
$s SceAppUtil
#0xF
*sceAppUtilAddCookieWebBrowser 0xC97D5D9E
*sceAppUtilAddcontMount 0x53B2C020
*sceAppUtilAddcontUmount 0x1B36AF8C
*sceAppUtilAppEventParseIncomingDialog 0x22297D59
*sceAppUtilAppEventParseLiveArea 0xF4EE55F
*sceAppUtilAppEventParseNearGift 0x77380601
*sceAppUtilAppEventParseNpAppDataMessage 0x6BED9B58
*sceAppUtilAppEventParseNpBasicJoinablePresence 0x28C7D4F6
*sceAppUtilAppEventParseNpInviteMessage 0xA2496814
*sceAppUtilAppEventParseScreenShotNotification 0x2AF42D6A
*sceAppUtilAppEventParseTriggerUtil 0x8DEE696B
*sceAppUtilAppEventParseWebBrowser 0x8ED716F5
*sceAppUtilAppParamGetInt 0xCD7FD67A
*sceAppUtilBgdlGetStatus 0x96F478D6
*sceAppUtilDrmClose 0x6A140498
*sceAppUtilDrmOpen 0x2DB7BE3B
*sceAppUtilInit 0xDAFFE671
*sceAppUtilLaunchWebBrowser 0xF19D0423
*sceAppUtilLoadSafeMemory 0x3424D772
*sceAppUtilMusicMount 0xB5EDCBFF
*sceAppUtilMusicUmount 0xA7FE1BF7
*sceAppUtilPhotoMount 0xEE85804D
*sceAppUtilPhotoUmount 0x9651B941
*sceAppUtilPspSaveDataGetDirNameList 0x9942071D
*sceAppUtilPspSaveDataLoad 0x7402C6EA
*sceAppUtilReceiveAppEvent 0xEE0DBED9
*sceAppUtilResetCookieWebBrowser 0x4FAAD133
*sceAppUtilSaveDataDataRemove 0xD1C6AB8E
*sceAppUtilSaveDataDataSave 0x607647BA
*sceAppUtilSaveDataGetQuota 0xC560E716
*sceAppUtilSaveDataMount 0xE61453B0
*sceAppUtilSaveDataSlotCreate 0x7E8FE96A
*sceAppUtilSaveDataSlotDelete 0x266A7646
*sceAppUtilSaveDataSlotGetParam 0x93F0D89F
*sceAppUtilSaveDataSlotSearch 0xE6057A85
*sceAppUtilSaveDataSlotSetParam 0x98630136
*sceAppUtilSaveDataUmount 0xEB720402
*sceAppUtilSaveSafeMemory 0x9D8AC677
*sceAppUtilShutdown 0xB220B00B
*sceAppUtilStoreBrowse 0x85FA94EE
*sceAppUtilSystemParamGetInt 0x5DFB9CA0
*sceAppUtilSystemParamGetString 0x6E6AA267
*sceAppUtilCacheMount 0xAA56143
$f ux0:/tai/yourmod.suprx
*func 0xDEADBEEF
